name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,maps_url
"Kimaya Skin Clinic - Dr. Meenakshi Kale, MBBS. MD. Skin & VD - Chinchwad",dermatologist,Chikhali,,4.7,213,"GMC Raj Palace, Shop No.9 Sane Chowk, Koyana Nagar, Chikhali, Pune, Maharashtra 411019",095112 45946,google_maps,N/A,18.6698524,73.7983797,"https://www.google.com/maps/place/Kimaya+Skin+Clinic+-+Dr.+Meenakshi+Kale,+MBBS.+MD.+Skin+%26+VD+-+Chinchwad/@18.6698524,73.5099886,11z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali!6e1!3m6!1s0x3bc2b7dc76d83dfb:0xf72ded7bbea8d76f!8m2!3d18.6698524!4d73.7983797!15sChlkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpWhsiGWRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGmSARBza2luX2NhcmVfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJTZGtsSVgwRjNFQUXgAQD6AQQIABAs!16s%2Fg%2F11h04t83kw?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
DR. PARINEETA'S SKIN CLINIC,dermatologist,Chikhali,,4.9,83,"40, 1st floor, Vaishnavi Quranos Near City Pride School, River residency road Dehu- Moshi road, Moshi, Chikhali, Pimpri-Chinchwad, Maharashtra 411062",073888 92121,google_maps,http://www.drparineetaskinclinic.com/,18.6820783,73.829722,"https://www.google.com/maps/place/DR.+PARINEETA'S+SKIN+CLINIC/@18.6698524,73.5099886,11z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali!6e1!3m6!1s0x3bc2b7e38a815b97:0xe1cf562095181148!8m2!3d18.6820783!4d73.829722!15sChlkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpWhsiGWRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGmSAQ1kZXJtYXRvbG9naXN0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ3Ym1WUE1WTjNFQUXgAQD6AQQITBA7!16s%2Fg%2F11rcvh1y87?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Lavanya Skin and Hair Clinic,dermatologist,Chikhali,,4.9,450,"18, K Mahadev Gopal Shivarkar Rd, near Sane Police Chowky, Navchaitanya Colony, More Vasti, Chikhali, Pimpri-Chinchwad, Maharashtra 411062",088881 72500,google_maps,N/A,18.6698312,73.7947607,"https://www.google.com/maps/place/Lavanya+Skin+and+Hair+Clinic/@18.6698524,73.5099886,11z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali!6e1!3m6!1s0x3bc2b778a07632e9:0xde58837d5558c8e8!8m2!3d18.6698312!4d73.7947607!15sChlkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpWhsiGWRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGmSAQZkb2N0b3LgAQA!16s%2Fg%2F11bzy5rhjp?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr Priyanka's Clinic,dermatologist,Chikhali,,4.4,58,"Near Siddhivinayak Temple, Kasturi Market, Chikhali Akurdi Rd, Sector No. 31, Pune, Maharashtra 411019",072639 26145,google_maps,N/A,18.6644251,73.795043,"https://www.google.com/maps/place/Dr+Priyanka's+Clinic/@18.6698524,73.5099886,11z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali!6e1!3m6!1s0x3bc2b93899e2c911:0x14bdf27d703b0e67!8m2!3d18.6644251!4d73.795043!15sChlkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpWhsiGWRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGmSAQ1kZXJtYXRvbG9naXN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4WmRFNHhjR3hpVlZZMFZFaGtNV1ZIZUZwTVYyUnZWVEJvZUZwWVl4QULgAQD6AQUInAEQRA!16s%2Fg%2F11gjhd40_x?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Nidas Aesthetics Clinic,dermatologist,Chikhali,,4.9,399,"4th Floor, Office no, 409, Dehu - Alandi Rd, Colony, Moshi, Pimpri-Chinchwad, Maharashtra 411070",070281 67854,google_maps,N/A,18.6833476,73.8353238,"https://www.google.com/maps/place/Dr.+Nidas+Aesthetics+Clinic/@18.6698524,73.5099886,11z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali!6e1!3m6!1s0x3bc2b79910ebd89d:0x909acdd11ee5564c!8m2!3d18.6833476!4d73.8353238!15sChlkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpWhsiGWRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGmSARBza2luX2NhcmVfY2xpbmljmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJFYjB4TU1UWkJSUkFC4AEA-gEECAAQSg!16s%2Fg%2F11pzyfrx97?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Dr Aishwarya Patil-Best Dermatologist in PCMC | Skin Specialist Doctor,Dermatologist in Pimpri Chinchwad | PCMC",dermatologist,Chikhali,,4.9,129,"Ground Floor,OPD1,Plot No GP 116, Chetna Hospital, C/O, Sambhaji Nagar Rd, near Rotary Club, G Block, MIDC, Chinchwad, Pimpri-Chinchwad, Pune, Maharashtra 411019",096077 53535,google_maps,https://chetnahospital.co.in/doctor/dr-aishwarya-patil-best-dermatologist-pcmc-pune/,18.6592107,73.7967928,"https://www.google.com/maps/place/Dr+Aishwarya+Patil-Best+Dermatologist+in+PCMC+%7C+Skin+Specialist+Doctor,Dermatologist+in+Pimpri+Chinchwad+%7C+PCMC/@18.6698524,73.5099886,11z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali!6e1!3m6!1s0x3bc2b82afcffffff:0x32495990d4943f3c!8m2!3d18.6592107!4d73.7967928!15sChlkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpWhsiGWRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGmSAQ1kZXJtYXRvbG9naXN04AEA!16s%2Fg%2F11sm8mwhjv?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Priyanka's Skin Clinic,dermatologist,Chikhali,,4.7,10,"Shop no.16 3rd floor, Shram Safaly Cooperate Society, Jadhav Wadi, Chikhali, Pimpri-Chinchwad, Maharashtra 411062",099227 96968,google_maps,N/A,18.6686684,73.8292345,"https://www.google.com/maps/place/Dr.+Priyanka's+Skin+Clinic/@18.6698524,73.5099886,11z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali!6e1!3m6!1s0x3bc2b7e900000001:0x6b5c7e2064ada761!8m2!3d18.6686684!4d73.8292345!15sChlkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpWhsiGWRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGmSAQ5tZWRpY2FsX2NsaW5pY5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycEtWRlZyV1hoT1NFNTNVVEJTTms5V2FHdGtWRVl5VFVka2ExbFZSUkFC4AEA-gEECAAQLg!16s%2Fg%2F11kjgbkscg?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Lavanya Skin Hair Laser Clinic,dermatologist,Chikhali,,4.9,261,"2nd FLOOR SHOP.14, Wagheshwar Temple Road Shiv Road Behind MNGL pump GAS pump SILVER CENTRAL MALL MOSHI, Shram Safaly Cooperate Society, Jadhav Wadi, Chikhali, Pune, Maharashtra 411062",088881 72500,google_maps,N/A,18.6682394,73.8291112,"https://www.google.com/maps/place/Lavanya+Skin+Hair+Laser+Clinic/@18.6698524,73.5099886,11z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali!6e1!3m6!1s0x3bc2b70d89e3072f:0x12d0723944a1e30a!8m2!3d18.6682394!4d73.8291112!15sChlkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpWhsiGWRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGmSARBza2luX2NhcmVfY2xpbmljmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0xY25WTVZYTjNSUkFC4AEA-gEECAAQMw!16s%2Fg%2F11rjz42_3q?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
NIT SKIN CLINIC,dermatologist,Chikhali,,4.8,214,"Shop No. 3, In front of Fire Brigade, Pune Nashik Highway, old moshi chowk, Moshi, Maharashtra 411070",099711 01666,google_maps,https://nitskinclinic.com/,18.6762375,73.8493537,"https://www.google.com/maps/place/NIT+SKIN+CLINIC/@18.6698524,73.5099886,11z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali!6e1!3m6!1s0x3bc2c9f6e8958f4d:0x1945f82f597f02cd!8m2!3d18.6762375!4d73.8493537!15sChlkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpWhsiGWRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGmSAQ1kZXJtYXRvbG9naXN04AEA!16s%2Fg%2F11jy9gmvv4?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr.Marathe's Skin & Hair Clinic,dermatologist,Chikhali,,4.9,28,"1st floor, More Complex, Dehu - Alandi Rd, near PMT bus Stop, Vrindavan Chikhali Patil Nagar, Patilnagar, Chikhali, Pune, Pimpri-Chinchwad, Maharashtra 411062",096579 33389,google_maps,https://sites.google.com/view/drmaratheskinclinic/,18.6838405,73.8140772,"https://www.google.com/maps/place/Dr.Marathe's+Skin+%26+Hair+Clinic/@18.6698524,73.5099886,11z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali!6e1!3m6!1s0x3bc2b7869443ffc7:0x48177caba4af998c!8m2!3d18.6838405!4d73.8140772!15sChlkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpWhsiGWRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGmSARBza2luX2NhcmVfY2xpbmlj4AEA!16s%2Fg%2F11y2dxwp72?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
